Date,App_Name,Category,Minutes_Used
2026-07-20,Instagram,Social Media,75
2026-07-20,YouTube,Entertainment,90
2026-07-20,VS Code,Coding,180
2026-07-20,Coursera,Education,60
2026-07-20,Spotify,Entertainment,40
2026-07-20,WhatsApp,Communication,35
2026-07-21,Instagram,Social Media,80
2026-07-21,YouTube,Entertainment,100
2026-07-21,VS Code,Coding,170
2026-07-21,Coursera,Education,70
2026-07-21,Spotify,Entertainment,45
2026-07-21,WhatsApp,Communication,30
2026-07-22,Instagram,Social Media,95
2026-07-22,YouTube,Entertainment,110
2026-07-22,VS Code,Coding,150
2026-07-22,Coursera,Education,75
2026-07-22,Spotify,Entertainment,50
2026-07-22,WhatsApp,Communication,40
2026-07-23,Instagram,Social Media,120
2026-07-23,YouTube,Entertainment,130
2026-07-23,VS Code,Coding,140
2026-07-23,Coursera,Education,60
2026-07-23,Spotify,Entertainment,55
2026-07-23,WhatsApp,Communication,45
2026-07-24,Instagram,Social Media,60
2026-07-24,YouTube,Entertainment,70
2026-07-24,VS Code,Coding,220
2026-07-24,Coursera,Education,100
2026-07-24,Spotify,Entertainment,35
2026-07-24,WhatsApp,Communication,25
2026-07-25,Instagram,Social Media,65
2026-07-25,YouTube,Entertainment,75
2026-07-25,VS Code,Coding,240
2026-07-25,Coursera,Education,90
2026-07-25,Spotify,Entertainment,30
2026-07-25,WhatsApp,Communication,20
2026-07-26,Instagram,Social Media,150
2026-07-26,YouTube,Entertainment,160
2026-07-26,VS Code,Coding,90
2026-07-26,Coursera,Education,40
2026-07-26,Spotify,Entertainment,70
2026-07-26,WhatsApp,Communication,55
2026-07-27,Instagram,Social Media,100
2026-07-27,YouTube,Entertainment,90
2026-07-27,VS Code,Coding,180
2026-07-27,Coursera,Education,80
2026-07-27,Spotify,Entertainment,45
2026-07-27,WhatsApp,Communication,35
2026-07-28,Instagram,Social Media,85
2026-07-28,YouTube,Entertainment,95
2026-07-28,VS Code,Coding,200
2026-07-28,Coursera,Education,75
2026-07-28,Spotify,Entertainment,40
2026-07-28,WhatsApp,Communication,30
2026-07-29,Instagram,Social Media,70
2026-07-29,YouTube,Entertainment,80
2026-07-29,VS Code,Coding,210
2026-07-29,Coursera,Education,85
2026-07-29,Spotify,Entertainment,35
2026-07-29,WhatsApp,Communication,25
2026-07-30,Instagram,Social Media,180
2026-07-30,YouTube,Entertainment,170
2026-07-30,VS Code,Coding,60
2026-07-30,Coursera,Education,30
2026-07-30,Spotify,Entertainment,80
2026-07-30,WhatsApp,Communication,60
2026-07-31,Instagram,Social Media,90
2026-07-31,YouTube,Entertainment,85
2026-07-31,VS Code,Coding,190
2026-07-31,Coursera,Education,80
2026-07-31,Spotify,Entertainment,35
2026-07-31,WhatsApp,Communication,30
2026-08-01,Instagram,Social Media,110
2026-08-01,YouTube,Entertainment,100
2026-08-01,VS Code,Coding,170
2026-08-01,Coursera,Education,70
2026-08-01,Spotify,Entertainment,45
2026-08-01,WhatsApp,Communication,40
2026-08-02,Instagram,Social Media,130
2026-08-02,YouTube,Entertainment,120
2026-08-02,VS Code,Coding,140
2026-08-02,Coursera,Education,60
2026-08-02,Spotify,Entertainment,55
2026-08-02,WhatsApp,Communication,45
2026-08-03,Instagram,Social Media,75
2026-08-03,YouTube,Entertainment,85
2026-08-03,VS Code,Coding,230
2026-08-03,Coursera,Education,95
2026-08-03,Spotify,Entertainment,35
2026-08-03,WhatsApp,Communication,30
